data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2016-05-23,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,22,0.0,1.0,-12.7427,-41.5059,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,AQUA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,5,3.9,1.0,-13.3,-41.295,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4.2,1.0,-13.280999999999999,-41.303000000000004,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-12,MSG-03,Brasil,BAHIA,MUCUGE,Caatinga,29,0.0,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,4,1.5,1.0,-12.674000000000001,-41.4402,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,4,0.0,1.0,-13.24,-41.283,,PARNA DA CHAPADA DA DIAMANTINA
2016-04-25,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,7,0.0,1.0,-12.8106,-41.4898,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4.1,1.0,-13.2839,-41.3039,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,4,1.5,1.0,-12.6708,-41.4373,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7.0,0.7,-12.659,-41.506,,PARNA DA CHAPADA DA DIAMANTINA
2016-04-30,NOAA-18,Brasil,BAHIA,PALMEIRAS,Caatinga,25,0.0,1.0,-12.675999999999998,-41.527,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,TERRA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,4,1.4,1.0,-12.665999999999999,-41.44,,PARNA DA CHAPADA DA DIAMANTINA
2016-04-25,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,7,0.0,1.0,-12.8095,-41.4808,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,26,6.9,0.6,-12.661,-41.515,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4.2,1.0,-13.2818,-41.3032,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-02,TERRA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,5,0.0,1.0,-13.299000000000001,-41.297,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,TERRA_M-M,Brasil,BAHIA,LENCOIS,Caatinga,4,1.4,1.0,-12.655999999999999,-41.443000000000005,,PARNA DA CHAPADA DA DIAMANTINA
2016-06-16,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,31,0.0,1.0,-12.915999999999999,-41.315,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-24,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-12.739,-41.51,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,4,0.0,1.0,-13.208,-41.273999999999994,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-01,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,4,0.0,1.0,-13.198,-41.277,,PARNA DA CHAPADA DA DIAMANTINA
2016-05-01,NOAA-19,Brasil,BAHIA,PALMEIRAS,Caatinga,26,6.9,0.6,-12.665999999999999,-41.525,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-02,NOAA-18,Brasil,BAHIA,PALMEIRAS,Caatinga,4,0.0,1.0,-12.68,-41.463,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,4,1.4,1.0,-12.661,-41.4423,,PARNA DA CHAPADA DA DIAMANTINA
2016-01-03,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,5,4.2,1.0,-13.2784,-41.3037,,PARNA DA CHAPADA DA DIAMANTINA
