data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2019-10-30,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.005,-41.3961,12.4,PARNA DA CHAPADA DA DIAMANTINA
2019-12-12,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,10,0.0,1.0,-13.24,-41.3,,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.008,-41.393,130.0,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0114,-41.3961,,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0064,-41.3924,,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0039,-41.3974,6.4,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0075,-41.4012,,PARNA DA CHAPADA DA DIAMANTINA
2019-06-27,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,41,0.0,1.0,-12.692,-41.4919,10.7,PARNA DA CHAPADA DA DIAMANTINA
2019-03-14,NOAA-20,Brasil,BAHIA,ANDARAI,Caatinga,9,0.3,0.4,-12.9352,-41.3062,,PARNA DA CHAPADA DA DIAMANTINA
2019-03-14,NOAA-20,Brasil,BAHIA,ANDARAI,Caatinga,9,0.3,0.4,-12.9348,-41.3027,,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.007,-41.3969,,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.0003,-41.3918,12.4,PARNA DA CHAPADA DA DIAMANTINA
2019-11-23,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.16,-41.34,,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.008,-41.394,107.2,PARNA DA CHAPADA DA DIAMANTINA
2019-03-08,NOAA-18,Brasil,BAHIA,PALMEIRAS,Caatinga,5,1.6,0.8,-12.6371,-41.5067,,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.0012,-41.3968,12.4,PARNA DA CHAPADA DA DIAMANTINA
2019-03-14,NOAA-20,Brasil,BAHIA,ANDARAI,Caatinga,9,0.3,0.7,-12.9392,-41.3056,,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0125,-41.3962,6.4,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0032,-41.3933,6.4,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.007,-41.401,99.5,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0074,-41.3926,6.4,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.0082,-41.3968,6.4,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.0056,-41.3958,,PARNA DA CHAPADA DA DIAMANTINA
2019-10-30,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.0006,-41.3964,,PARNA DA CHAPADA DA DIAMANTINA
2019-12-12,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,1.0,-13.2359,-41.3191,1.5,PARNA DA CHAPADA DA DIAMANTINA
2019-11-20,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.01,-41.4,,PARNA DA CHAPADA DA DIAMANTINA
