data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2012-04-06,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.460999999999999,-41.497,,PARNA DA CHAPADA DA DIAMANTINA
2012-04-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.22,-41.316,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-23,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.832,-41.376000000000005,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-03,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.224,-41.269,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-23,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.024000000000001,-41.363,,PARNA DA CHAPADA DA DIAMANTINA
2012-10-20,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.685,-41.523,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-27,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.824000000000002,-41.381,,PARNA DA CHAPADA DA DIAMANTINA
2012-04-16,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.243,-41.294,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-26,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.827,-41.381,,PARNA DA CHAPADA DA DIAMANTINA
2012-09-11,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.577,-41.413999999999994,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-23,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.823,-41.378,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-26,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.823,-41.373999999999995,,PARNA DA CHAPADA DA DIAMANTINA
2012-04-06,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.459000000000001,-41.485,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-03,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.225,-41.278,,PARNA DA CHAPADA DA DIAMANTINA
2012-02-09,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.481,-41.419,,PARNA DA CHAPADA DA DIAMANTINA
2012-10-22,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.682,-41.534,,PARNA DA CHAPADA DA DIAMANTINA
2012-09-11,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.575999999999999,-41.405,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-26,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.829,-41.408,,PARNA DA CHAPADA DA DIAMANTINA
2012-02-11,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.481,-41.4,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-03,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.215,-41.271,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-03,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.214,-41.261,,PARNA DA CHAPADA DA DIAMANTINA
2012-08-05,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.544,-41.428999999999995,,PARNA DA CHAPADA DA DIAMANTINA
2012-12-21,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.845,-41.354,,PARNA DA CHAPADA DA DIAMANTINA
2012-10-22,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.673,-41.535,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-24,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.479000000000001,-41.504,,PARNA DA CHAPADA DA DIAMANTINA
2012-10-20,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.683,-41.513999999999996,,PARNA DA CHAPADA DA DIAMANTINA
2012-03-03,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.216,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
2012-10-23,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-13.06,-41.261,,PARNA DA CHAPADA DA DIAMANTINA
