data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2014-12-06,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.1,0.8,-12.796,-41.503,,PARNA DA CHAPADA DA DIAMANTINA
2014-09-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,16,0.2,1.0,-12.889000000000001,-41.33,,PARNA DA CHAPADA DA DIAMANTINA
2014-09-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,11,0.1,1.0,-12.890999999999998,-41.345,,PARNA DA CHAPADA DA DIAMANTINA
2014-09-21,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,27,0.4,1.0,-12.885,-41.342,,PARNA DA CHAPADA DA DIAMANTINA
2014-10-10,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,12,0.0,1.0,-12.612,-41.525,,PARNA DA CHAPADA DA DIAMANTINA
2014-09-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,14,0.1,1.0,-12.886,-41.338,,PARNA DA CHAPADA DA DIAMANTINA
2014-09-22,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,11,0.1,1.0,-12.888,-41.353,,PARNA DA CHAPADA DA DIAMANTINA
2014-12-06,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,0.8,-12.787,-41.504,,PARNA DA CHAPADA DA DIAMANTINA
