data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.273,-41.281000000000006,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.265,-41.292,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.255999999999998,-41.293,,PARNA DA CHAPADA DA DIAMANTINA
2013-11-01,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.908,-41.331,,PARNA DA CHAPADA DA DIAMANTINA
2013-10-25,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.78,-41.488,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-13,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.968,-41.356,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.283,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
2013-06-01,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.950999999999999,-41.402,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-17,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.284,-41.275,,PARNA DA CHAPADA DA DIAMANTINA
2013-06-01,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.952,-41.412,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-06,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.776,-41.486999999999995,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-08,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.559000000000001,-41.475,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.963,-41.35,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-06,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.767999999999999,-41.498000000000005,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.280999999999999,-41.269,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-17,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.285,-41.266000000000005,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.264000000000001,-41.282,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.257,-41.303000000000004,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.968,-41.343,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-06,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.767000000000001,-41.488,,PARNA DA CHAPADA DA DIAMANTINA
2013-11-01,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,,,,-12.899000000000001,-41.333,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-13.272,-41.27,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-07,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.569,-41.481,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-08,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.558,-41.466,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.969000000000001,-41.354,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-08,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.55,-41.476000000000006,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-10,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.522,-41.476000000000006,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-08,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,,,,-12.567,-41.468,,PARNA DA CHAPADA DA DIAMANTINA
2013-03-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,,,,-12.962,-41.339,,PARNA DA CHAPADA DA DIAMANTINA
2013-01-08,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,,,,-12.569,-41.477,,PARNA DA CHAPADA DA DIAMANTINA
