data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2018-10-15,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,23,0.5,1.0,-13.1667,-41.2624,1.4,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.1868,-41.2478,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-13,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,28,0.0,1.0,-13.2811,-41.2111,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,23,0.3,1.0,-13.1696,-41.2042,5.1,PARNA DA CHAPADA DA DIAMANTINA
2018-10-13,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.1854,-41.2236,1.1,PARNA DA CHAPADA DA DIAMANTINA
2018-10-13,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.1807,-41.2193,5.0,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,22,0.0,1.0,-13.17,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,24,0.4,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,23,0.4,1.0,-13.167,-41.21,77.0,PARNA DA CHAPADA DA DIAMANTINA
2018-10-12,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,24,0.0,1.0,-13.2198,-41.2075,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,22,0.5,1.0,-13.19,-41.24,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-13,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,28,0.0,1.0,-13.2928,-41.2202,,PARNA DA CHAPADA DA DIAMANTINA
2018-03-05,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.8,1.0,-12.8431,-41.4762,,PARNA DA CHAPADA DA DIAMANTINA
2018-03-05,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.8,1.0,-12.8429,-41.48,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,23,0.5,1.0,-13.158,-41.263000000000005,28.9,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,24,0.4,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,24,0.4,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,21,0.0,1.0,-13.15,-41.25,,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,23,0.3,1.0,-13.1741,-41.2049,5.1,PARNA DA CHAPADA DA DIAMANTINA
2018-11-20,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,1.0,-13.119000000000002,-41.353,17.0,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.182,-41.236000000000004,83.6,PARNA DA CHAPADA DA DIAMANTINA
