data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.244000000000002,-41183.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-24,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,1.0,-13248.0,-41.19600000000001,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13247.0,-41187.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13248.0,-41198.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-01-15,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.2,1.0,-13337.0,-41282.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-04-12,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,0.7,-12555.0,-41332.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-27,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1.0,-13.255999999999998,-41184.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-25,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13245.0,-41194.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-04-13,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0.0,0.8,-12562.0,-41317.0,,PARNA DA CHAPADA DA DIAMANTINA
2017-10-21,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0.0,1.0,-13232.0,-41.18,,PARNA DA CHAPADA DA DIAMANTINA
2017-12-05,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0.0,0.7,-13216.0,-41188.0,,PARNA DA CHAPADA DA DIAMANTINA
