Data Medicao,PRECIPITACAO TOTAL; DIARIO (AUT)(mm),TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),Latitude,Longitude
2015-01-01,0.0,24.958333,69.291667,0.933333,-12.557853999999999,-41.388808000000004
2015-01-02,0.0,26.133333,66.083333,0.933333,-12.557853999999999,-41.388808000000004
2015-01-03,0.0,25.095833,68.833333,0.945833,-12.557853999999999,-41.388808000000004
2015-01-04,0.0,25.0,65.875,1.054167,-12.557853999999999,-41.388808000000004
2015-01-05,0.0,25.216667,66.5,0.75,-12.557853999999999,-41.388808000000004
2015-01-06,0.0,25.883333,67.75,0.979167,-12.557853999999999,-41.388808000000004
2015-01-07,0.0,25.208333,75.708333,1.358333,-12.557853999999999,-41.388808000000004
2015-01-08,1.8,25.195833,71.0,1.504167,-12.557853999999999,-41.388808000000004
2015-01-09,1.0,23.858333,83.291667,1.354167,-12.557853999999999,-41.388808000000004
2015-01-10,0.4,24.129167,77.625,1.266667,-12.557853999999999,-41.388808000000004
2015-01-11,0.2,25.5375,71.125,1.175,-12.557853999999999,-41.388808000000004
2015-01-12,0.0,26.2125,64.75,1.366667,-12.557853999999999,-41.388808000000004
2015-01-13,0.0,25.504167,66.208333,1.154167,-12.557853999999999,-41.388808000000004
2015-01-14,0.0,25.020833,63.625,1.183333,-12.557853999999999,-41.388808000000004
2015-01-15,0.0,25.895833,64.333333,1.166667,-12.557853999999999,-41.388808000000004
2015-01-16,0.0,25.691667,66.458333,1.25,-12.557853999999999,-41.388808000000004
2015-01-17,0.0,25.7125,65.416667,0.920833,-12.557853999999999,-41.388808000000004
2015-01-18,0.0,26.4125,64.208333,1.004167,-12.557853999999999,-41.388808000000004
2015-01-19,0.0,25.920833,62.875,0.9375,-12.557853999999999,-41.388808000000004
2015-01-20,0.0,25.958333,60.25,0.741667,-12.557853999999999,-41.388808000000004
2015-01-21,0.0,25.875,66.416667,0.633333,-12.557853999999999,-41.388808000000004
2015-01-22,0.0,26.275,66.291667,0.829167,-12.557853999999999,-41.388808000000004
2015-01-23,0.0,26.554167,63.916667,1.0875,-12.557853999999999,-41.388808000000004
2015-01-24,0.0,26.808333,58.958333,1.283333,-12.557853999999999,-41.388808000000004
2015-01-25,0.0,25.620833,68.75,1.066667,-12.557853999999999,-41.388808000000004
2015-01-26,0.0,25.591667,72.25,0.9,-12.557853999999999,-41.388808000000004
