Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
01/01,23.370833,60.416667,1.933333,1
02/01,19.0,47.5,2.045,0
03/01,23.917391,51.652174,2.3727270000000003,0
04/01,21.579167,72.333333,1.704348,0
05/01,20.383333,85.5,1.9375,0
06/01,18.654167,91.458333,1.7333330000000002,0
07/01,19.620833,86.708333,2.508696,0
08/01,19.0,90.714286,1.509524,0
09/01,19.0,71.111111,1.85,0
10/01,21.5125,70.5,3.3458330000000003,0
11/01,21.633333,68.125,3.025,0
12/01,21.683333,74.833333,1.7166669999999995,1
13/01,21.729167,77.083333,1.591667,0
14/01,20.083333,81.833333,2.854167,0
15/01,21.0,78.333333,2.208333,0
16/01,21.525,79.833333,1.725,0
17/01,19.433333,88.375,1.933333,0
18/01,20.2875,79.916667,1.7125,0
19/01,19.483333,90.166667,1.933333,0
20/01,18.141667,91.25,2.0958330000000003,0
21/01,18.958333,91.083333,2.617391,0
22/01,19.0,82.73684200000002,2.836842,0
23/01,19.470833,89.875,3.341667,0
24/01,20.4125,86.0,2.370833,0
25/01,20.979167,84.083333,1.95,0
26/01,21.05,83.25,1.625,0
27/01,19.958333,88.0,1.483333,0
28/01,20.225,82.583333,2.2208330000000003,0
29/01,20.691667,70.416667,3.1625,0
30/01,20.0125,70.041667,3.304167,0
31/01,19.325,74.25,3.3,0
01/02,20.754167,74.458333,2.2375,0
02/02,21.216667,70.0,2.9125,0
03/02,20.283333,76.125,1.525,0
04/02,20.591667,77.708333,1.591667,0
05/02,20.883333,73.666667,1.708333,0
06/02,21.591667,65.958333,2.6,0
07/02,21.404167,69.208333,2.254167,0
08/02,21.116667,66.583333,2.429167,0
09/02,21.479167,64.375,2.004167,0
10/02,21.729167,64.333333,1.479167,0
11/02,22.479167,61.5,2.2833330000000003,0
12/02,22.5625,63.458333,2.204167,0
13/02,21.333333,76.166667,2.0125,0
14/02,21.766667,72.041667,1.9375,0
15/02,21.933333,63.166667,2.129167,0
16/02,22.166667,61.875,2.6625,0
17/02,21.641667,58.416667,2.925,0
18/02,20.5,62.958333,2.3875,0
19/02,21.120833,70.25,2.279167,0
20/02,21.5125,71.625,2.808333,0
21/02,21.770833,67.416667,2.929167,0
22/02,21.545833,65.25,4.183333,0
23/02,20.8625,68.375,3.375,0
24/02,22.4625,63.791667,2.85,0
25/02,22.775,61.791667,2.5875,0
26/02,21.979167,64.25,2.25,0
27/02,21.554167,71.958333,2.45,0
28/02,22.575,61.208333,2.291667,0
29/02,22.5,63.875,2.3,0
01/03,22.170833,65.958333,2.058333,0
02/03,21.5375,68.208333,2.5958330000000003,0
03/03,22.179167,62.791667,1.508333,0
04/03,21.945833,70.916667,1.7666669999999998,0
05/03,21.941667,76.583333,1.6708330000000002,0
06/03,21.958333,73.958333,2.066667,0
07/03,21.875,69.166667,2.295833,0
08/03,22.004167,65.791667,2.416667,0
09/03,21.95,64.208333,2.083333,0
10/03,21.458333,69.375,1.483333,0
11/03,22.070833,65.625,1.566667,0
12/03,22.45,66.541667,2.454167,0
13/03,22.383333,64.166667,2.466667,0
14/03,21.179167,69.666667,4.05,0
15/03,19.6625,75.5,2.504167,0
16/03,20.7375,69.208333,3.354167,0
17/03,20.741667,69.208333,2.745833,0
18/03,21.933333,68.916667,2.5375,0
19/03,22.608333,66.5,1.8,0
20/03,22.895833,64.75,2.2625,0
21/03,22.0625,61.083333,2.6,0
22/03,22.8625,59.625,2.05,0
23/03,23.1125,60.291667,1.870833,0
24/03,22.7375,67.041667,2.029167,0
25/03,22.345833,66.791667,1.666667,0
26/03,22.516667,61.625,2.479167,1
27/03,22.241667,69.583333,2.7875,0
28/03,21.2625,69.0,2.8458330000000003,0
29/03,21.525,70.5,2.4625,0
30/03,21.704167,73.416667,2.7208330000000003,0
31/03,21.654167,61.166667,2.3833330000000004,0
01/04,20.7375,72.708333,2.454167,0
02/04,20.629167,69.166667,1.7375,0
03/04,20.945833,72.708333,2.741667,0
04/04,22.258333,66.458333,2.504167,0
05/04,22.266667,64.875,4.025,0
06/04,22.233333,63.291667,2.5958330000000003,0
07/04,22.629167,62.916667,1.858333,0
08/04,22.629167,63.833333,1.283333,0
09/04,22.604167,64.416667,2.270833,0
10/04,22.383333,62.708333,2.579167,0
11/04,22.0,61.041667,2.6125,0
12/04,20.4,77.166667,3.025,0
13/04,19.525,76.666667,2.9,0
14/04,19.379167,70.0,2.5,0
15/04,18.8375,76.166667,3.029167,0
16/04,20.295833,68.166667,3.1,0
17/04,19.3125,75.583333,3.929167,0
18/04,19.4625,73.875,3.666667,0
19/04,19.1125,75.791667,3.483333,0
20/04,18.308333,76.375,3.279167,0
21/04,19.416667,67.875,3.0375,0
22/04,20.829167,62.416667,2.3833330000000004,0
23/04,20.783333,60.333333,2.375,0
24/04,20.083333,70.333333,2.295833,0
25/04,21.158333,63.541667,2.4625,0
26/04,21.3,59.708333,1.370833,0
27/04,22.025,53.625,1.441667,0
28/04,21.970833,57.125,2.629167,0
29/04,21.354167,56.458333,2.229167,0
30/04,21.458333,61.833333,1.825,0
01/05,21.416667,67.791667,2.516667,0
02/05,20.045833,79.583333,2.954167,0
03/05,18.483333,83.25,3.35,0
04/05,18.908333,77.125,2.45,0
05/05,20.004167,71.791667,1.645833,0
06/05,20.629167,66.458333,2.295833,0
07/05,19.533333,72.208333,2.429167,0
08/05,19.1,72.666667,2.375,0
09/05,19.529167,66.208333,2.1583330000000003,0
10/05,20.145833,61.875,1.3125,0
11/05,20.441667,65.416667,1.545833,0
12/05,21.166667,60.208333,1.65,0
13/05,20.9125,56.958333,2.275,0
14/05,20.241667,70.0,2.9875,0
15/05,19.5125,74.583333,3.475,0
16/05,19.354167,76.75,1.920833,0
17/05,20.566667,69.75,1.904167,0
18/05,20.5625,66.125,2.2375,0
19/05,20.754167,61.291667,2.375,0
20/05,18.7625,72.083333,3.941667,0
21/05,18.941667,71.958333,2.2375,0
22/05,20.05,65.375,1.558333,1
23/05,20.4375,60.75,1.854167,0
24/05,20.7125,59.333333,2.55,0
25/05,17.170833,87.708333,4.104167,0
26/05,16.795833,85.041667,2.904167,0
27/05,18.691667,64.5,1.604167,0
28/05,18.8125,66.0,1.9375,0
29/05,19.85,68.458333,1.370833,0
30/05,19.545833,73.791667,0.779167,0
31/05,20.325,62.125,2.191667,0
01/06,20.620833,61.791667,2.120833,0
02/06,20.916667,49.25,1.575,1
03/06,21.620833,47.25,2.079167,0
04/06,21.945833,53.25,2.2833330000000003,0
05/06,21.895833,55.458333,2.420833,0
06/06,21.9125,59.541667,2.1,0
07/06,22.1,59.458333,2.245833,0
08/06,23.129167,51.541667,2.575,0
09/06,21.85,60.0,1.929167,0
10/06,19.891667,73.625,1.2125,0
11/06,20.216667,71.541667,2.216667,0
12/06,20.604167,70.416667,1.4875,1
13/06,19.054167,74.708333,1.9375,0
14/06,15.158333,87.458333,4.283333,0
15/06,16.404167,76.75,2.279167,0
16/06,17.570833,67.625,2.308333,1
17/06,18.108333,59.666667,2.891667,0
18/06,17.4875,73.0,2.0875,0
19/06,17.675,80.0,1.825,0
20/06,17.466667,78.208333,2.4708330000000003,0
21/06,17.345833,66.291667,3.154167,0
22/06,17.054167,68.666667,3.95,0
23/06,18.158333,67.708333,2.854167,0
24/06,18.0125,57.333333,2.516667,0
25/06,15.533333,86.75,4.454167,0
26/06,14.879167,86.166667,4.6458330000000005,0
27/06,15.429167,78.125,3.841667,0
28/06,15.520832999999998,86.375,3.854167,0
29/06,15.729167000000002,82.625,4.304167,0
30/06,16.429167,83.375,3.504167,0
01/07,15.991667,77.458333,3.808333,0
02/07,16.029167,75.5,3.883333,0
03/07,15.366667,84.375,3.875,0
04/07,16.4875,82.083333,2.608333,0
05/07,15.825,86.541667,3.0875,0
06/07,16.729167,75.541667,2.675,0
07/07,17.558332999999998,68.333333,1.9083330000000005,0
08/07,18.625,59.916667,2.679167,0
09/07,17.416667,72.166667,2.954167,0
10/07,16.779167,82.833333,1.791667,0
11/07,17.875,69.75,1.333333,0
12/07,18.079167,67.291667,1.395833,0
13/07,17.783333,68.208333,1.916667,0
14/07,17.758333,64.916667,1.3875,0
15/07,17.654167,64.958333,1.7208330000000005,0
16/07,18.2375,55.0,1.6625,0
17/07,18.691667,55.583333,2.3875,0
18/07,20.083333,51.125,3.075,0
19/07,19.120833,65.416667,2.854167,0
20/07,18.425,72.958333,2.229167,0
21/07,18.383333,69.666667,1.875,0
22/07,18.4,68.125,2.525,1
23/07,17.0375,69.791667,3.483333,0
24/07,16.225,82.416667,3.25,0
25/07,16.091667,83.583333,3.166667,0
26/07,15.970833,80.708333,3.141667,0
27/07,16.816667000000002,69.041667,2.475,0
28/07,17.625,66.791667,2.666667,0
29/07,16.7875,65.041667,3.554167,0
30/07,15.75,71.291667,4.275,0
31/07,15.1875,79.708333,4.1875,0
01/08,15.341667,76.833333,2.825,0
02/08,17.420833,74.166667,2.225,0
03/08,17.679167,74.208333,3.983333,0
04/08,16.658333,71.75,3.525,0
05/08,15.558333,79.916667,3.325,0
06/08,16.8125,79.291667,2.204167,0
07/08,17.883333,68.25,1.383333,0
08/08,17.704167,64.291667,1.429167,0
09/08,18.716667,61.666667,1.604167,0
10/08,18.979167,59.583333,1.4625,0
11/08,20.145833,54.791667,2.483333,0
12/08,18.4125,69.5,2.304167,0
13/08,18.475,63.125,2.5125,0
14/08,19.129167,65.166667,1.7458330000000002,0
15/08,19.658333,61.25,2.233333,0
16/08,21.2875,51.208333,2.045833,0
17/08,22.254167,49.5,2.2583330000000004,0
18/08,21.366667,59.625,2.325,0
19/08,19.4875,68.25,2.804167,0
20/08,19.041667,63.25,2.245833,0
21/08,19.945833,56.583333,2.083333,1
22/08,21.920833,44.416667,3.325,0
23/08,19.016667,72.25,4.166667,0
24/08,16.770833,87.958333,3.625,0
25/08,15.575,85.125,3.154167,0
26/08,17.8,67.291667,2.7125,0
27/08,16.575,91.083333,3.083333,0
28/08,16.383333,77.208333,3.0875,0
29/08,17.929167,74.541667,2.879167,0
30/08,18.945833,74.916667,2.5333330000000003,0
31/08,18.945833,67.958333,2.25,0
01/09,18.541667,67.25,2.204167,0
02/09,17.158333,78.041667,3.870833,0
03/09,15.979167000000002,81.166667,2.7125,0
04/09,16.925,71.041667,3.308333,0
05/09,16.85,81.5,3.1333330000000004,0
06/09,18.3625,67.625,2.2583330000000004,0
07/09,18.758333,67.208333,2.6375,0
08/09,19.1375,63.458333,2.0333330000000003,0
09/09,18.9125,59.791667,2.616667,1
10/09,18.183333,64.333333,4.1875,0
11/09,18.016667,63.5,2.7125,0
12/09,19.291667,54.666667,2.666667,0
13/09,19.15,61.75,3.333333,0
14/09,20.0125,52.416667,2.5083330000000004,0
15/09,20.0875,60.791667,2.1,0
16/09,20.625,56.166667,2.675,0
17/09,20.320833,61.916667,2.183333,0
18/09,20.204167,66.041667,2.370833,0
19/09,20.366667,57.416667,1.695833,0
20/09,21.1875,48.791667,2.3208330000000004,0
21/09,22.283333,48.583333,2.766667,0
22/09,19.9375,72.291667,3.820833,0
23/09,18.595833,77.5,2.4875,0
24/09,19.958333,69.083333,2.166667,0
25/09,20.333333,65.791667,1.854167,0
26/09,18.725,80.75,1.425,0
27/09,17.575,87.875,1.420833,0
28/09,18.3,83.416667,1.8875,0
29/09,20.033333,71.791667,2.370833,0
30/09,20.391667,68.541667,2.233333,0
01/10,20.2,71.833333,2.004167,0
02/10,20.520833,69.375,2.6375,0
03/10,18.808333,82.75,2.525,0
04/10,20.6125,68.083333,2.083333,0
05/10,21.120833,71.0,1.5875,0
06/10,20.095833,80.041667,3.295833,0
07/10,21.729167,72.125,3.6,0
08/10,20.758333,75.416667,2.495833,0
09/10,18.979167,84.333333,2.054167,0
10/10,20.1875,71.041667,2.925,0
11/10,18.045833,81.291667,3.558333,0
12/10,17.858333,78.958333,3.041667,0
13/10,17.666667,82.875,2.725,0
14/10,19.145833,65.458333,2.866667,0
15/10,19.975,58.0,2.045833,0
16/10,19.795833,58.833333,2.4625,0
17/10,20.620833,60.75,2.458333,0
18/10,20.858333,63.583333,1.8125,0
19/10,21.55,64.875,2.5625,0
20/10,20.954167,66.833333,1.979167,0
21/10,20.995833,65.208333,2.191667,0
22/10,21.3,61.0,2.429167,0
23/10,20.875,61.125,3.729167,0
24/10,20.7125,53.25,3.020833,0
25/10,20.933333,60.75,2.329167,0
26/10,21.329167,59.333333,2.266667,0
27/10,21.416667,58.958333,2.4875,0
28/10,23.395833,53.75,2.479167,0
29/10,22.754167,60.083333,2.866667,0
30/10,20.3375,61.541667,3.4625,0
31/10,20.5875,61.666667,3.604167,0
01/11,20.758333,58.25,3.166667,0
02/11,21.154167,56.166667,3.633333,0
03/11,20.175,55.666667,3.520833,0
04/11,20.3375,57.875,3.054167,0
05/11,17.904167,82.541667,3.395833,0
06/11,18.85,70.583333,2.754167,0
07/11,19.258333,73.25,2.6625,0
08/11,19.525,68.75,1.7,0
09/11,19.7875,74.416667,2.1125,0
10/11,19.7,78.75,1.220833,0
11/11,20.091667,76.5,1.3875,0
12/11,20.8125,72.083333,1.770833,0
13/11,19.425,85.5,1.358333,0
14/11,19.9625,83.25,1.533333,0
15/11,19.9125,85.458333,2.466667,0
16/11,18.35,92.375,1.458333,0
17/11,20.016667,84.583333,1.254167,0
18/11,20.958333,81.458333,1.275,0
19/11,20.0375,83.208333,1.854167,0
20/11,17.491667,93.541667,1.429167,0
21/11,18.454167,85.166667,2.1,0
22/11,21.308333,66.458333,1.7875,0
23/11,22.225,60.333333,2.183333,0
24/11,23.758333,54.875,2.420833,0
25/11,23.004167,54.083333,2.3375,0
26/11,21.029167,59.875,2.1875,0
27/11,21.745833,53.625,2.416667,0
28/11,22.441667,54.208333,1.991667,0
29/11,23.229167,49.5,1.75,0
30/11,23.5625,54.583333,1.7541669999999998,0
01/12,22.595833,58.375,2.6958330000000004,0
02/12,21.6125,65.0,2.891667,0
03/12,21.066667,74.666667,2.404167,0
04/12,21.491667,74.916667,2.291667,0
05/12,22.075,71.75,2.233333,0
06/12,21.383333,75.833333,1.516667,0
07/12,21.75,72.125,1.495833,0
08/12,20.366667,80.416667,1.558333,0
09/12,20.879167,78.5,1.9125,0
10/12,21.945833,67.291667,1.341667,0
11/12,20.891667,76.958333,2.045833,0
12/12,19.983333,85.041667,1.7666669999999998,0
13/12,20.329167,84.0,1.254167,0
14/12,21.041667,69.791667,1.7875,0
15/12,21.583333,59.5,2.2125,0
16/12,20.5875,66.083333,3.495833,0
17/12,18.829167,72.041667,3.629167,0
18/12,19.570833,68.041667,3.2,0
19/12,19.566667,67.291667,3.4125,0
20/12,19.429167,69.5,3.454167,0
21/12,19.7875,69.875,4.379167,0
22/12,19.9875,73.25,3.370833,0
23/12,20.070833,72.458333,3.5333330000000003,0
24/12,20.479167,72.333333,2.7875,0
25/12,21.5375,63.833333,2.4625,0
26/12,22.4875,60.333333,2.108333,0
27/12,21.75,63.833333,2.2,0
28/12,20.625,65.125,2.120833,0
29/12,20.833333,64.041667,2.25,0
30/12,20.329167,63.625,2.675,0
31/12,21.1375,59.5,2.645833,0
01/01,21.958333,55.333333,2.1375,0
02/01,21.979167,63.916667,1.65,0
03/01,23.270833,54.666667,2.3,0
04/01,21.875,63.041667,1.925,0
05/01,22.375,55.708333,2.679167,0
06/01,21.445833,56.041667,2.716667,0
07/01,21.445833,54.125,2.479167,0
08/01,20.958333,59.916667,2.3125,0
09/01,22.008333,56.833333,1.995833,0
10/01,23.0125,54.666667,1.854167,0
11/01,23.120833,58.791667,2.016667,0
12/01,22.0875,65.916667,2.0083330000000004,0
13/01,22.495833,66.25,2.1625,0
14/01,22.129167,70.708333,2.2375,0
15/01,22.2125,65.666667,2.25,1
16/01,21.804167,64.208333,2.2833330000000003,0
17/01,22.0875,52.833333,2.55,0
18/01,21.566667,62.791667,1.666667,0
19/01,22.554167,60.5,2.395833,0
20/01,22.058333,57.416667,2.866667,0
21/01,22.504167,56.041667,3.0083330000000004,0
22/01,22.604167,58.916667,2.666667,0
23/01,22.6,61.583333,2.304167,0
24/01,22.079167,64.125,2.7833330000000003,0
25/01,22.533333,60.583333,2.429167,0
26/01,22.833333,54.333333,2.2833330000000003,0
27/01,22.5,54.916667,2.225,0
28/01,21.320833,64.416667,3.7625,0
29/01,20.2,71.25,3.1375,0
30/01,21.491667,59.041667,3.191667,0
31/01,22.1125,58.833333,2.558333,0
01/02,21.820833,63.083333,2.3625,0
02/02,21.075,71.916667,1.616667,0
03/02,21.920833,68.708333,1.3125,0
04/02,21.7125,71.083333,2.141667,0
05/02,21.15,71.583333,1.591667,0
06/02,21.875,68.75,1.945833,0
07/02,21.191667,76.416667,1.625,0
08/02,20.3875,82.833333,1.120833,0
09/02,19.466667,88.291667,1.645833,0
10/02,19.4125,83.583333,1.854167,0
11/02,20.45,72.583333,2.745833,0
12/02,19.520833,73.416667,1.775,0
13/02,19.408333,75.791667,2.7583330000000004,0
14/02,19.591667,65.291667,2.604167,0
15/02,18.804167,79.375,3.0083330000000004,0
16/02,19.691667,73.083333,3.366667,0
17/02,21.470833,66.041667,2.729167,0
18/02,21.608333,66.0,2.754167,0
19/02,21.795833,60.708333,2.808333,0
20/02,20.916667,63.916667,3.208333,0
21/02,18.325,84.958333,2.841667,0
22/02,19.958333,74.583333,3.245833,0
23/02,21.0125,65.458333,3.2208330000000003,0
24/02,20.641667,68.208333,2.0333330000000003,0
25/02,22.370833,62.166667,1.5125,0
26/02,22.020833,66.041667,2.154167,0
27/02,23.116667,55.875,1.95,0
28/02,22.754167,63.458333,1.391667,0
01/03,20.9875,75.208333,0.733333,0
02/03,22.154167,67.041667,1.7375,0
03/03,22.0625,57.166667,2.125,0
04/03,22.341667,57.791667,1.7041669999999998,0
05/03,22.758333,53.708333,1.7208330000000005,0
06/03,23.645833,51.916667,1.9708330000000005,0
07/03,23.729167,52.375,2.116667,0
08/03,22.975,54.041667,2.3,0
09/03,20.670833,50.083333,2.4875,0
10/03,21.558333,59.75,3.279167,0
11/03,20.441667,69.25,3.229167,0
12/03,21.2625,62.875,3.104167,0
13/03,22.125,60.833333,1.7541669999999998,0
14/03,22.279167,59.916667,2.458333,0
15/03,20.883333,63.75,3.1583330000000003,0
16/03,19.520833,74.416667,2.154167,0
17/03,20.775,72.333333,1.541667,0
18/03,22.641667,66.166667,1.6875,0
19/03,22.979167,63.208333,1.595833,0
20/03,22.904167,59.916667,2.004167,0
21/03,23.104167,57.875,1.7541669999999998,0
22/03,21.725,71.0,3.4375,0
23/03,21.85,65.75,2.479167,0
24/03,21.404167,65.583333,1.958333,0
25/03,22.65,59.708333,1.6125,0
26/03,23.170833,59.541667,1.891667,0
27/03,23.804167,55.5,1.579167,0
28/03,23.75,57.666667,1.741667,0
29/03,19.833333,84.083333,1.391667,0
30/03,19.045833,91.625,1.0625,0
31/03,19.708333,89.041667,1.529167,0
01/04,18.720833,92.375,1.3625,0
02/04,18.879167,85.958333,1.545833,0
03/04,18.9625,89.833333,1.1625,0
04/04,19.525,81.333333,2.0625,0
05/04,19.85,78.458333,1.808333,0
06/04,20.3625,77.916667,1.6625,0
07/04,20.6125,66.583333,1.933333,0
08/04,20.425,69.125,1.9708330000000005,0
09/04,20.529167,68.958333,2.925,0
10/04,20.4375,67.916667,2.7625,0
11/04,21.470833,67.708333,2.2125,0
12/04,21.933333,66.583333,1.554167,0
13/04,21.3625,71.666667,2.083333,0
14/04,19.791667,76.708333,2.779167,0
15/04,20.3125,69.833333,2.745833,0
16/04,20.279167,69.291667,2.8833330000000004,0
17/04,20.9125,72.083333,1.7958330000000002,0
18/04,21.408333,70.458333,2.2833330000000003,0
19/04,19.891667,70.958333,2.991667,0
20/04,17.8875,86.625,3.308333,0
21/04,19.45,76.625,2.35,0
22/04,20.495833,77.0,1.633333,0
23/04,20.991667,75.041667,1.7791669999999995,0
24/04,21.125,72.291667,2.4,0
25/04,20.770833,69.875,2.241667,0
26/04,21.420833,68.625,2.216667,0
27/04,22.341667,69.0,2.166667,0
28/04,21.575,69.0,2.3833330000000004,0
29/04,19.820833,72.291667,3.2125,0
30/04,19.058333,76.291667,3.083333,0
01/05,18.308333,74.208333,4.0625,0
02/05,18.041667,80.833333,3.541667,0
03/05,16.841667,91.125,3.970833,0
04/05,18.025,78.708333,3.241667,0
05/05,17.5,90.791667,2.608333,0
06/05,19.3125,79.5,1.9375,0
07/05,19.779167,72.125,1.420833,0
08/05,19.754167,71.375,2.1333330000000004,0
09/05,20.3625,70.333333,1.8,0
10/05,20.491667,70.75,1.816667,0
11/05,20.329167,64.75,2.075,0
12/05,19.466667,66.208333,3.708333,0
13/05,18.925,70.041667,1.454167,0
14/05,19.879167,65.125,1.366667,0
15/05,21.929167,50.75,2.0,0
16/05,23.520833,42.416667,2.0083330000000004,0
17/05,20.125,73.791667,1.408333,0
18/05,18.566667,87.958333,1.333333,0
19/05,18.866667,81.666667,1.366667,0
20/05,19.4875,79.458333,1.225,0
21/05,19.133333,80.625,1.7375,0
22/05,19.183333,82.916667,1.770833,0
23/05,19.4375,79.5,2.375,0
24/05,19.620833,75.5,2.5875,0
25/05,18.3875,82.208333,2.858333,0
26/05,17.833333,76.291667,3.358333,0
27/05,18.541667,73.083333,2.733333,0
28/05,17.570833,87.458333,1.879167,0
29/05,18.033333,72.083333,2.9375,0
30/05,18.379167,68.041667,1.6416669999999998,0
31/05,18.5,68.208333,1.170833,0
01/06,19.770833,66.458333,1.4375,0
02/06,20.825,64.0,1.345833,0
03/06,20.370833,70.375,2.1333330000000004,0
04/06,17.904167,86.666667,3.1125,0
05/06,18.1875,78.666667,2.891667,0
06/06,18.291667,85.791667,1.8458330000000005,0
07/06,18.058333,81.25,2.45,0
08/06,17.204167,85.25,1.558333,0
09/06,18.670833,71.416667,0.783333,0
10/06,18.908333,66.833333,2.233333,0
11/06,19.195833,59.25,2.0083330000000004,0
12/06,18.725,69.125,1.729167,0
13/06,18.283333,69.625,2.495833,0
14/06,18.2375,69.0,2.879167,0
15/06,17.666667,73.375,3.1333330000000004,0
16/06,17.1125,79.916667,2.85,0
17/06,17.145833,74.041667,2.966667,0
18/06,17.25,65.25,3.045833,0
19/06,18.025,64.083333,2.545833,0
20/06,18.2375,66.75,2.433333,0
21/06,17.8125,69.458333,3.4375,0
22/06,15.95,78.541667,3.479167,0
23/06,15.929167,83.791667,4.220833,0
24/06,15.925,80.083333,4.470833,0
25/06,15.5125,84.25,3.525,0
26/06,15.1,86.666667,3.441667,0
27/06,15.0875,85.916667,3.65,0
28/06,15.420832999999998,87.5,3.454167,0
29/06,14.904167,85.708333,3.058333,0
30/06,15.470833,82.416667,1.9083330000000005,0
01/07,16.958333,82.375,1.9625,0
02/07,17.220833,75.333333,2.9083330000000003,0
03/07,13.1875,86.958333,4.175,0
04/07,12.145833,80.458333,4.995833,0
05/07,12.941667,81.916667,4.320833,0
06/07,14.3625,85.125,3.625,0
07/07,15.0125,79.25,3.483333,0
08/07,14.216667,84.041667,4.604167,0
09/07,14.141667000000002,81.416667,4.0625,0
10/07,15.941667,83.583333,3.6375,0
11/07,15.583332999999998,80.166667,3.6625,0
12/07,15.941667,80.0,3.5958330000000003,0
13/07,15.025,85.708333,3.3208330000000004,0
14/07,14.275,85.041667,3.4083330000000003,0
15/07,15.066667,71.958333,4.154167,0
16/07,15.454167000000002,77.125,3.925,0
17/07,16.441667000000002,79.041667,3.4458330000000004,0
18/07,15.454167000000002,68.916667,1.941667,0
19/07,15.483332999999998,71.0,1.975,0
20/07,16.654167,74.958333,1.895833,0
21/07,17.733333,74.041667,2.1583330000000003,0
22/07,17.954167,61.75,2.8208330000000004,0
23/07,16.425,57.125,3.120833,0
