Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
24/07,14.945833,83.375,3.316667,0
25/07,14.725,80.5,3.75,0
26/07,14.15,81.0,5.129167,0
27/07,14.991667,73.916667,5.466667,0
28/07,14.745833,80.708333,5.216667,0
29/07,13.708332999999998,85.0,4.9583330000000005,0
30/07,13.258333,83.25,4.116667,0
31/07,13.979167000000002,82.041667,3.2583330000000004,0
01/08,14.55,77.875,2.525,0
02/08,17.491667,69.25,1.295833,0
03/08,18.05,69.333333,1.375,0
04/08,18.908333,65.375,2.333333,0
05/08,18.979167,62.625,2.7875,0
06/08,17.104167,76.916667,3.129167,0
07/08,16.358333,74.458333,2.916667,0
08/08,17.358333,63.0,2.675,0
09/08,18.504167,54.75,1.7166669999999995,0
10/08,19.120833,49.916667,2.529167,0
11/08,18.8625,43.833333,3.458333,0
12/08,17.516667,68.625,2.491667,0
13/08,18.158333,65.541667,1.6833330000000002,0
14/08,17.333333,61.208333,1.6708330000000002,0
15/08,16.908333,59.625,2.1375,0
16/08,16.458333,62.666667,2.1333330000000004,0
17/08,18.0375,59.0,1.258333,0
18/08,18.35,60.333333,1.483333,0
19/08,18.354167,58.708333,2.341667,0
20/08,18.479167,63.208333,1.708333,0
21/08,18.816667,64.416667,2.6875,0
22/08,16.266667,82.666667,4.5833330000000005,0
23/08,16.145833,77.958333,5.275,0
24/08,15.879167,80.583333,3.7375,0
25/08,15.0375,86.5,3.3833330000000004,0
26/08,16.458333,74.791667,2.8208330000000004,0
27/08,17.308332999999998,69.583333,1.975,0
28/08,17.883333,64.375,1.595833,0
29/08,18.045833,60.875,1.858333,0
30/08,18.366667,56.458333,1.95,0
31/08,18.733333,50.958333,2.1333330000000004,0
01/09,17.433332999999998,64.375,3.695833,0
02/09,15.2625,79.416667,3.945833,0
03/09,14.195833,82.125,4.870833,0
04/09,14.933333,73.375,4.525,0
05/09,15.945833,71.208333,3.8125,0
06/09,17.654167,74.0,2.083333,0
07/09,18.3625,74.708333,2.5875,0
08/09,17.104167,77.041667,3.658333,0
09/09,17.595833,69.666667,3.166667,0
10/09,17.2875,72.375,3.4625,0
11/09,17.0,71.541667,4.433333,0
12/09,16.891667,61.833333,3.608333,0
13/09,16.545833,75.125,3.0958330000000003,0
14/09,16.275,80.166667,3.254167,0
15/09,16.6875,71.208333,3.4708330000000003,0
16/09,16.591667,74.833333,3.666667,0
17/09,16.729167,77.291667,3.175,0
18/09,17.208333,73.916667,2.604167,0
19/09,16.179167,84.416667,2.7375,0
20/09,16.445833,76.5,3.020833,0
21/09,16.383333,81.125,3.358333,0
22/09,16.033333,71.666667,3.175,0
23/09,16.816667000000002,74.083333,3.045833,0
24/09,16.616667,76.666667,2.35,0
25/09,17.004167000000002,72.375,3.675,0
26/09,17.933332999999994,67.0,3.333333,0
27/09,18.616667,67.333333,1.9375,0
28/09,20.608333,61.208333,2.1,0
29/09,20.058333,61.791667,1.7541669999999998,0
30/09,20.583333,59.708333,3.0625,0
01/10,20.491667,63.583333,2.016667,0
02/10,21.316667,55.208333,2.75,0
03/10,21.725,55.791667,2.704167,0
04/10,20.654167,59.458333,2.020833,0
05/10,19.05,66.125,3.6125,0
06/10,19.3,59.708333,2.791667,0
07/10,19.504167,62.583333,2.708333,0
08/10,19.5375,59.625,3.754167,0
09/10,19.545833,63.833333,3.3125,0
10/10,19.141667,60.208333,3.2208330000000003,0
11/10,19.316667,56.5,2.354167,0
12/10,19.825,56.458333,2.866667,0
13/10,20.125,57.958333,3.254167,0
14/10,21.7375,54.083333,2.304167,0
15/10,22.8625,53.75,2.6958330000000004,0
16/10,20.120833,53.791667,4.266667,0
17/10,17.291667,69.375,4.345833,0
18/10,16.683332999999998,80.208333,2.5708330000000004,0
19/10,19.295833,67.333333,2.795833,0
