Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
26/04,25.383333,63.75,0.783333,0
27/04,24.933333,64.458333,0.716667,0
28/04,25.4,66.416667,0.616667,0
29/04,25.5375,63.041667,0.958333,0
30/04,26.4,64.458333,0.808333,0
01/05,27.058333,64.0,0.9125,1
02/05,26.4375,65.625,1.608333,0
03/05,24.441667,73.708333,2.325,0
04/05,23.695833,77.416667,0.783333,0
05/05,25.6625,70.208333,0.520833,0
06/05,26.154167,61.416667,0.983333,0
07/05,25.0625,70.541667,0.8,0
08/05,22.925,85.208333,1.204167,0
09/05,24.2625,69.875,0.945833,0
10/05,23.583333,68.375,0.775,0
11/05,24.6375,69.041667,0.55,1
12/05,24.379167,69.541667,0.733333,0
13/05,23.9375,69.375,0.679167,0
14/05,25.333333,68.041667,0.6875,0
15/05,25.291667,69.333333,1.525,0
16/05,24.041667,78.791667,0.8375,0
17/05,24.375,74.75,0.658333,0
18/05,25.166667,68.916667,0.558333,0
19/05,24.375,70.0,0.816667,0
20/05,24.116667,70.916667,1.179167,0
21/05,23.545833,73.083333,0.708333,0
22/05,24.833333,67.958333,0.6875,1
23/05,25.745833,62.0,0.733333,0
24/05,25.5125,65.583333,1.154167,0
25/05,22.7625,84.75,1.825,0
26/05,23.025,76.333333,1.791667,0
27/05,23.620833,67.333333,0.75,0
28/05,23.6,66.583333,0.7125,0
29/05,24.504167,69.5,0.754167,0
30/05,24.2375,73.541667,0.795833,0
31/05,25.025,69.875,1.004167,0
01/06,25.470833,64.791667,0.7625,0
02/06,23.633333,63.208333,0.6375,0
03/06,24.2875,60.125,0.783333,0
04/06,26.291667,57.916667,0.766667,0
05/06,25.395833,63.625,0.645833,0
06/06,25.941667,65.375,0.541667,0
07/06,25.866667,62.166667,0.833333,0
08/06,26.954167,55.833333,0.875,0
09/06,26.441667,59.208333,0.883333,1
10/06,25.3375,64.333333,0.8375,0
11/06,25.420833,64.875,0.958333,0
12/06,24.595833,68.125,0.7,1
13/06,24.308333,67.541667,0.95,0
14/06,21.091667,82.041667,1.55,0
15/06,21.533333,74.5,0.9875,0
16/06,22.954167,64.083333,1.0875,1
17/06,22.6,62.166667,1.0875,0
18/06,22.995833,68.041667,0.766667,0
19/06,22.7875,75.166667,1.075,0
20/06,22.345833,80.708333,0.6,0
21/06,23.025,69.541667,0.858333,0
22/06,22.783333,62.75,1.391667,0
23/06,23.370833,65.916667,0.7125,0
24/06,22.716667,59.125,0.929167,0
25/06,21.6625,72.416667,1.841667,0
26/06,21.033333,77.958333,1.6541669999999995,0
27/06,21.883333,67.166667,1.9083330000000005,0
28/06,20.616667,85.5,0.979167,0
29/06,21.433333,80.666667,1.304167,0
30/06,20.954167,87.166667,1.1625,0
01/07,21.975,77.041667,1.925,0
02/07,22.729167,65.708333,1.895833,0
03/07,21.483333,75.125,0.945833,0
04/07,21.104167,87.208333,1.379167,0
05/07,20.729167,87.666667,1.416667,0
06/07,21.329167,80.375,1.033333,0
07/07,21.645833,76.333333,0.6125,0
08/07,22.970833,67.583333,1.020833,0
09/07,22.0375,73.583333,0.8,0
10/07,21.4125,85.375,0.504167,0
11/07,23.158333,70.375,0.470833,0
12/07,22.720833,68.416667,0.45,0
13/07,21.641667,72.125,0.470833,0
14/07,22.666667,66.833333,0.691667,0
15/07,22.875,65.833333,0.583333,0
16/07,21.841667,63.708333,0.55,0
17/07,22.4,66.166667,0.804167,0
18/07,23.841667,56.166667,0.545833,1
19/07,23.391667,61.916667,0.754167,0
20/07,23.9875,67.333333,0.475,0
21/07,24.1125,64.416667,0.6875,0
22/07,23.870833,62.375,0.879167,0
23/07,22.591667,67.25,1.208333,0
24/07,22.0875,77.625,1.025,0
25/07,20.9125,83.083333,0.916667,0
26/07,20.708333,86.166667,1.183333,0
27/07,20.354167,78.791667,0.829167,0
28/07,22.183333,69.125,1.033333,0
29/07,23.216667,61.083333,1.420833,0
30/07,21.754167,66.125,1.545833,0
31/07,20.5125,73.333333,1.295833,0
01/08,21.2625,69.25,1.154167,0
02/08,22.1375,76.25,0.608333,0
03/08,22.479167,74.333333,0.970833,0
04/08,22.308333,71.625,0.866667,0
05/08,21.3625,73.375,1.1625,0
06/08,21.075,86.375,0.379167,0
07/08,22.7375,71.208333,0.666667,0
08/08,22.679167,65.125,0.629167,0
09/08,22.620833,64.333333,0.645833,0
10/08,22.5375,63.666667,0.533333,0
11/08,24.35,60.916667,0.6625,0
12/08,23.3,66.458333,0.8375,0
13/08,23.770833,60.208333,0.979167,0
14/08,24.095833,62.5,0.5,0
15/08,23.945833,62.0,0.683333,0
16/08,24.341667,59.541667,0.558333,0
17/08,25.370833,59.333333,0.745833,0
18/08,25.991667,59.083333,0.975,0
19/08,25.145833,62.458333,1.775,0
20/08,24.241667,61.666667,0.904167,0
